# Wind Estimator
#
# Q = diag( 1.00000 1.00000 1.00000 0.01000 0.01000 0.01000 )
# R = diag( 0.25000 0.25000 0.25000 0.01000 0.01000 )
# ki = 0.00000
# alpha = 0.50000
# beta = 2.00000
#
p q r ax ay az vkx vky vkz va aoa q1 q2 q3 q4 phi theta u v w wx wy wz t
0.00104 -0.00171 -0.00021 -0.327 0.003 -9.707 0.00 -0.01 0.04 0.00 0.00000 0.14542 0.01725 -0.00092 0.98921 0.0031 -0.0344 -0.001 -0.111 0.321 -0.066 -0.111 -0.657 30410
0.00145 -0.00123 -0.00100 -0.300 -0.008 -9.673 -0.00 -0.02 0.13 0.00 0.00000 0.14568 0.01750 -0.00070 0.98917 0.0037 -0.0348 -0.000 -0.096 0.404 -0.065 -0.110 -0.659 30510
0.00314 -0.00124 -0.00126 -0.322 -0.001 -9.689 -0.01 -0.02 0.13 0.00 0.00000 0.14796 0.01769 -0.00072 0.98883 0.0038 -0.0352 -0.001 -0.096 0.404 -0.066 -0.111 -0.652 30610
0.00360 -0.00053 -0.00127 -0.314 0.006 -9.697 -0.02 -0.00 0.09 0.00 0.00000 0.14494 0.01802 -0.00108 0.98927 0.0030 -0.0359 -0.001 -0.112 0.368 -0.070 -0.114 -0.641 30710
0.00053 -0.00174 -0.00015 -0.313 0.008 -9.699 -0.02 -0.00 0.09 0.00 0.00000 0.14583 0.01798 -0.00119 0.98914 0.0028 -0.0359 -0.001 -0.121 0.354 -0.073 -0.115 -0.634 30810
-0.00082 -0.00168 -0.00120 -0.310 -0.013 -9.685 0.00 -0.01 0.05 0.00 0.00000 0.14587 0.01712 -0.00103 0.98915 0.0029 -0.0341 -0.001 -0.118 0.324 -0.068 -0.116 -0.632 30910
0.00102 -0.00044 -0.00019 -0.301 -0.029 -9.695 0.02 -0.01 0.05 0.00 0.00000 0.14456 0.01676 -0.00084 0.98935 0.0031 -0.0334 -0.002 -0.112 0.316 -0.061 -0.116 -0.633 31010
0.00419 -0.00048 -0.00061 -0.300 -0.001 -9.687 -0.00 -0.03 0.14 0.00 0.00000 0.14512 0.01755 -0.00040 0.98925 0.0043 -0.0348 -0.000 -0.093 0.393 -0.060 -0.113 -0.632 31110
0.00187 -0.00122 -0.00154 -0.328 0.003 -9.682 -0.02 -0.03 0.15 0.00 0.00000 0.14535 0.01788 -0.00023 0.98921 0.0047 -0.0354 -0.001 -0.081 0.399 -0.062 -0.112 -0.627 31210
0.00187 -0.00216 -0.00106 -0.309 0.016 -9.719 0.01 -0.00 0.04 0.00 0.00000 0.14590 0.01712 -0.00110 0.98914 0.0028 -0.0342 -0.002 -0.121 0.309 -0.061 -0.120 -0.619 31310
0.00177 -0.00116 -0.00156 -0.316 0.001 -9.711 0.03 0.00 0.03 0.00 0.00000 0.14722 0.01677 -0.00153 0.98895 0.0018 -0.0336 -0.002 -0.149 0.284 -0.057 -0.127 -0.616 31410
-0.00121 -0.00213 0.00006 -0.301 -0.011 -9.679 0.03 0.00 0.02 0.00 0.00000 0.14661 0.01673 -0.00145 0.98905 0.0020 -0.0335 -0.001 -0.150 0.282 -0.052 -0.129 -0.622 31510
-0.00082 -0.00115 -0.00072 -0.320 -0.013 -9.697 0.03 0.00 0.03 0.00 0.00000 0.14641 0.01674 -0.00135 0.98908 0.0022 -0.0335 -0.001 -0.146 0.291 -0.047 -0.129 -0.628 31610
0.00178 -0.00114 -0.00155 -0.311 -0.018 -9.691 0.03 -0.00 0.10 0.00 0.00000 0.14670 0.01677 -0.00117 0.98903 0.0026 -0.0335 -0.001 -0.139 0.352 -0.043 -0.129 -0.631 31710
0.00233 -0.00211 -0.00112 -0.304 -0.001 -9.668 0.03 -0.00 0.11 0.00 0.00000 0.14636 0.01681 -0.00106 0.98908 0.0028 -0.0335 -0.001 -0.137 0.371 -0.040 -0.130 -0.634 31810
0.00233 -0.00120 -0.00112 -0.317 -0.000 -9.688 -0.00 0.00 0.14 0.00 0.00000 0.14623 0.01794 -0.00113 0.98908 0.0030 -0.0358 -0.000 -0.134 0.391 -0.046 -0.129 -0.629 31910
0.00242 -0.00174 -0.00041 -0.306 0.001 -9.664 -0.04 0.01 0.15 0.00 0.00000 0.14698 0.01886 -0.00123 0.98895 0.0031 -0.0376 0.000 -0.132 0.395 -0.057 -0.125 -0.623 32010
0.00147 -0.00124 -0.00031 -0.312 0.003 -9.670 -0.05 -0.00 0.14 0.00 0.00000 0.14877 0.01885 -0.00093 0.98869 0.0037 -0.0375 0.000 -0.117 0.383 -0.066 -0.119 -0.617 32110
-0.00029 -0.00171 -0.00082 -0.319 0.001 -9.688 -0.04 -0.01 0.13 0.00 0.00000 0.14888 0.01856 -0.00056 0.98867 0.0044 -0.0368 -0.000 -0.100 0.374 -0.070 -0.114 -0.609 32210
-0.00061 -0.00219 0.00047 -0.314 -0.011 -9.675 -0.04 -0.02 0.11 0.00 0.00000 0.14755 0.01861 -0.00036 0.98887 0.0047 -0.0369 -0.000 -0.086 0.350 -0.074 -0.111 -0.606 32310
-0.00034 -0.00170 -0.00128 -0.309 0.011 -9.711 -0.05 -0.03 0.10 0.00 0.00000 0.14736 0.01871 -0.00024 0.98890 0.0050 -0.0370 -0.000 -0.081 0.332 -0.079 -0.108 -0.601 32410
0.00188 -0.00122 -0.00110 -0.312 -0.003 -9.682 -0.06 -0.02 0.09 0.00 0.00000 0.14860 0.01889 -0.00034 0.98871 0.0049 -0.0374 0.000 -0.080 0.330 -0.084 -0.107 -0.602 32510
0.00138 -0.00123 -0.00103 -0.301 -0.006 -9.687 -0.07 -0.01 0.10 0.00 0.00000 0.14827 0.01909 -0.00053 0.98876 0.0046 -0.0379 0.000 -0.084 0.338 -0.091 -0.106 -0.603 32610
0.00177 -0.00124 -0.00159 -0.310 -0.006 -9.687 -0.07 -0.00 0.09 0.00 0.00000 0.14911 0.01919 -0.00098 0.98863 0.0037 -0.0382 0.000 -0.102 0.329 -0.099 -0.107 -0.604 32710
0.00076 -0.00173 -0.00145 -0.295 0.021 -9.707 -0.07 0.02 0.06 0.00 0.00000 0.14867 0.01926 -0.00164 0.98869 0.0024 -0.0385 0.000 -0.136 0.300 -0.108 -0.110 -0.604 32810
-0.00046 -0.00165 -0.00127 -0.295 -0.001 -9.704 -0.03 0.02 0.05 0.00 0.00000 0.14739 0.01807 -0.00171 0.98891 0.0019 -0.0362 -0.001 -0.151 0.295 -0.107 -0.113 -0.606 32910
-0.00041 -0.00103 -0.00077 -0.320 -0.013 -9.680 0.05 0.00 0.06 0.00 0.00000 0.14648 0.01589 -0.00149 0.98908 0.0017 -0.0318 -0.003 -0.155 0.310 -0.089 -0.116 -0.612 33010
0.00178 -0.00100 -0.00106 -0.309 0.016 -9.719 0.07 -0.01 0.04 0.00 0.00000 0.14702 0.01552 -0.00108 0.98901 0.0024 -0.0310 -0.004 -0.146 0.297 -0.071 -0.119 -0.614 33110
0.00184 -0.00155 -0.00105 -0.320 0.006 -9.712 0.02 -0.04 0.07 0.00 0.00000 0.14612 0.01676 -0.00020 0.98912 0.0044 -0.0332 -0.002 -0.098 0.314 -0.061 -0.113 -0.615 33210
0.00234 -0.00158 -0.00114 -0.305 0.013 -9.687 -0.00 -0.05 0.07 0.00 0.00000 0.14796 0.01734 0.00014 0.98884 0.0054 -0.0342 -0.001 -0.073 0.321 -0.058 -0.111 -0.618 33310
0.00046 -0.00119 -0.00016 -0.315 0.013 -9.717 -0.06 -0.00 0.03 0.00 0.00000 0.14778 0.01900 -0.00077 0.98883 0.0040 -0.0378 0.000 -0.096 0.291 -0.070 -0.112 -0.619 33410
0.00034 -0.00221 -0.00089 -0.332 -0.008 -9.697 -0.09 0.01 0.03 0.00 0.00000 0.14820 0.01970 -0.00119 0.98875 0.0034 -0.0393 0.001 -0.107 0.290 -0.085 -0.110 -0.622 33510
0.00135 -0.00260 -0.00028 -0.298 -0.003 -9.715 -0.02 0.02 0.03 0.00 0.00000 0.14804 0.01811 -0.00179 0.98881 0.0018 -0.0363 -0.000 -0.146 0.295 -0.089 -0.116 -0.625 33610
0.00123 -0.00158 -0.00098 -0.310 -0.006 -9.716 0.00 0.03 0.04 0.00 0.00000 0.14630 0.01739 -0.00202 0.98908 0.0010 -0.0350 -0.001 -0.168 0.303 -0.087 -0.121 -0.628 33710
0.00087 -0.00211 -0.00020 -0.307 -0.011 -9.680 -0.03 0.02 0.10 0.00 0.00000 0.14700 0.01820 -0.00170 0.98896 0.0019 -0.0365 -0.000 -0.154 0.354 -0.089 -0.117 -0.631 33810
0.00078 -0.00042 -0.00091 -0.309 0.003 -9.694 -0.05 0.02 0.10 0.00 0.00000 0.14600 0.01860 -0.00150 0.98910 0.0024 -0.0372 -0.000 -0.144 0.364 -0.094 -0.114 -0.630 33910
0.00039 -0.00112 -0.00013 -0.311 0.003 -9.748 -0.03 0.01 0.06 0.00 0.00000 0.14662 0.01815 -0.00138 0.98902 0.0025 -0.0363 -0.001 -0.141 0.323 -0.095 -0.114 -0.622 34010
0.00175 -0.00158 -0.00105 -0.319 -0.018 -9.703 -0.02 0.01 0.05 0.00 0.00000 0.14693 0.01782 -0.00130 0.98898 0.0026 -0.0356 -0.001 -0.137 0.311 -0.093 -0.114 -0.621 34110
0.00137 -0.00037 -0.00025 -0.319 -0.016 -9.687 -0.03 0.00 0.14 0.00 0.00000 0.14618 0.01811 -0.00110 0.98909 0.0031 -0.0361 -0.000 -0.127 0.383 -0.094 -0.113 -0.620 34210
0.00122 -0.00209 -0.00147 -0.300 0.000 -9.640 -0.04 0.00 0.18 0.00 0.00000 0.14690 0.01833 -0.00095 0.98898 0.0034 -0.0365 -0.000 -0.120 0.420 -0.097 -0.111 -0.620 34310
0.00126 -0.00160 -0.00099 -0.307 -0.023 -9.677 -0.04 0.01 0.19 0.00 0.00000 0.14721 0.01828 -0.00129 0.98893 0.0028 -0.0365 -0.001 -0.132 0.424 -0.100 -0.113 -0.608 34410
0.00166 -0.00159 -0.00153 -0.307 -0.001 -9.672 -0.03 0.02 0.20 0.00 0.00000 0.14653 0.01816 -0.00160 0.98903 0.0021 -0.0364 -0.001 -0.152 0.420 -0.103 -0.116 -0.595 34510
0.00082 -0.00110 -0.00018 -0.320 0.001 -9.642 -0.03 0.04 0.23 0.00 0.00000 0.14627 0.01812 -0.00193 0.98907 0.0014 -0.0364 -0.000 -0.173 0.435 -0.106 -0.119 -0.583 34610
0.00168 -0.00110 -0.00101 -0.315 -0.003 -9.638 -0.03 0.05 0.25 0.00 0.00000 0.14489 0.01811 -0.00212 0.98927 0.0010 -0.0364 -0.000 -0.185 0.444 -0.109 -0.121 -0.571 34710
0.00175 -0.00157 -0.00103 -0.306 0.001 -9.667 -0.04 0.00 0.19 0.00 0.00000 0.14580 0.01814 -0.00098 0.98914 0.0033 -0.0361 -0.001 -0.140 0.387 -0.107 -0.114 -0.558 34810
0.00131 -0.00156 -0.00097 -0.321 0.011 -9.671 -0.05 -0.02 0.18 0.00 0.00000 0.14618 0.01815 -0.00018 0.98909 0.0049 -0.0359 -0.001 -0.098 0.368 -0.104 -0.108 -0.550 34910
0.00095 -0.00155 -0.00022 -0.311 -0.003 -9.673 -0.05 -0.05 0.19 0.00 0.00000 0.14815 0.01820 0.00044 0.98879 0.0062 -0.0358 -0.001 -0.059 0.372 -0.102 -0.103 -0.546 35010
0.00081 -0.00106 -0.00139 -0.329 -0.013 -9.641 -0.06 -0.07 0.20 0.00 0.00000 0.14597 0.01822 0.00080 0.98911 0.0069 -0.0358 -0.000 -0.033 0.378 -0.100 -0.100 -0.546 35110
0.00084 -0.00155 -0.00089 -0.311 -0.003 -9.662 -0.06 -0.05 0.22 0.00 0.00000 0.14499 0.01832 0.00024 0.98926 0.0057 -0.0362 -0.000 -0.052 0.389 -0.103 -0.103 -0.543 35210
0.00129 -0.00156 -0.00097 -0.292 -0.013 -9.646 -0.06 -0.03 0.23 0.00 0.00000 0.14629 0.01839 -0.00035 0.98907 0.0046 -0.0364 -0.000 -0.077 0.398 -0.107 -0.109 -0.541 35310
0.00221 -0.00108 -0.00156 -0.333 0.008 -9.661 -0.08 -0.04 0.25 0.00 0.00000 0.14476 0.01870 0.00002 0.98928 0.0054 -0.0370 -0.000 -0.067 0.414 -0.110 -0.107 -0.534 35410
0.00133 -0.00206 -0.00097 -0.316 -0.001 -9.652 -0.09 -0.06 0.28 0.00 0.00000 0.14628 0.01893 0.00039 0.98906 0.0063 -0.0373 -0.000 -0.043 0.427 -0.114 -0.103 -0.525 35510
0.00091 -0.00110 -0.00019 -0.309 0.000 -9.679 -0.10 -0.04 0.20 0.00 0.00000 0.14702 0.01909 -0.00015 0.98894 0.0053 -0.0378 -0.000 -0.059 0.355 -0.121 -0.104 -0.516 35610
0.00023 -0.00159 -0.00134 -0.308 -0.006 -9.642 -0.10 -0.01 0.14 0.00 0.00000 0.14727 0.01917 -0.00070 0.98890 0.0042 -0.0381 0.000 -0.082 0.304 -0.128 -0.107 -0.517 35710
0.00182 -0.00103 -0.00031 -0.320 -0.006 -9.670 -0.05 -0.02 0.15 0.00 0.00000 0.14683 0.01798 -0.00083 0.98899 0.0036 -0.0358 -0.000 -0.100 0.308 -0.126 -0.112 -0.521 35810
0.00116 -0.00145 -0.00146 -0.309 -0.000 -9.718 -0.01 -0.02 0.13 0.00 0.00000 0.14672 0.01695 -0.00085 0.98903 0.0032 -0.0337 -0.003 -0.111 0.295 -0.117 -0.118 -0.523 35910
0.00074 -0.00096 -0.00090 -0.318 -0.021 -9.702 -0.01 -0.02 0.10 0.00 0.00000 0.14628 0.01699 -0.00092 0.98909 0.0031 -0.0338 -0.002 -0.112 0.273 -0.109 -0.121 -0.527 36010
0.00073 -0.00194 -0.00090 -0.328 -0.006 -9.708 -0.01 -0.02 0.08 0.00 0.00000 0.14605 0.01710 -0.00098 0.98912 0.0030 -0.0341 -0.001 -0.116 0.258 -0.103 -0.124 -0.531 36110
0.00083 -0.00199 -0.00016 -0.332 -0.026 -9.668 -0.05 -0.01 0.16 0.00 0.00000 0.14539 0.01794 -0.00101 0.98921 0.0032 -0.0358 0.000 -0.109 0.322 -0.104 -0.123 -0.538 36210
0.00122 -0.00153 -0.00097 -0.309 0.001 -9.642 -0.07 -0.01 0.21 0.00 0.00000 0.14651 0.01853 -0.00104 0.98903 0.0033 -0.0369 0.000 -0.109 0.379 -0.109 -0.121 -0.546 36310
0.00134 -0.00151 -0.00023 -0.316 -0.011 -9.648 -0.07 -0.03 0.19 0.00 0.00000 0.14575 0.01832 -0.00052 0.98915 0.0042 -0.0364 -0.000 -0.086 0.375 -0.111 -0.117 -0.548 36410
0.00174 -0.00198 -0.00102 -0.306 0.013 -9.665 -0.06 -0.05 0.20 0.00 0.00000 0.14569 0.01817 -0.00024 0.98916 0.0048 -0.0360 -0.000 -0.073 0.377 -0.111 -0.115 -0.546 36510
0.00028 -0.00150 -0.00082 -0.310 -0.018 -9.647 -0.07 -0.04 0.25 0.00 0.00000 0.14551 0.01837 -0.00043 0.98918 0.0044 -0.0364 -0.000 -0.073 0.419 -0.114 -0.116 -0.543 36610
-0.00100 -0.00248 -0.00116 -0.295 -0.003 -9.647 -0.08 -0.03 0.26 0.00 0.00000 0.14612 0.01850 -0.00063 0.98909 0.0041 -0.0368 -0.000 -0.080 0.425 -0.118 -0.116 -0.536 36710
0.00069 -0.00151 -0.00089 -0.304 -0.013 -9.645 -0.07 -0.00 0.24 0.00 0.00000 0.14597 0.01850 -0.00149 0.98911 0.0024 -0.0370 -0.000 -0.118 0.402 -0.124 -0.122 -0.527 36810
0.00115 -0.00151 -0.00096 -0.295 -0.021 -9.666 -0.07 0.01 0.23 0.00 0.00000 0.14643 0.01846 -0.00192 0.98904 0.0016 -0.0371 -0.000 -0.142 0.378 -0.129 -0.126 -0.519 36910
0.00215 -0.00099 -0.00106 -0.310 -0.011 -9.595 -0.06 -0.01 0.26 0.00 0.00000 0.14487 0.01807 -0.00122 0.98928 0.0028 -0.0361 0.000 -0.122 0.410 -0.128 -0.123 -0.521 37010
0.00136 -0.00146 0.00027 -0.323 -0.006 -9.618 -0.05 -0.02 0.28 0.00 0.00000 0.14496 0.01786 -0.00087 0.98927 0.0034 -0.0356 -0.001 -0.105 0.427 -0.125 -0.120 -0.519 37110
0.00121 -0.00096 -0.00091 -0.308 0.013 -9.642 -0.06 -0.04 0.33 0.00 0.00000 0.14335 0.01786 -0.00055 0.98951 0.0040 -0.0355 -0.001 -0.091 0.454 -0.122 -0.118 -0.508 37210
0.00073 -0.00096 -0.00088 -0.320 -0.011 -9.623 -0.06 -0.04 0.34 0.00 0.00000 0.14524 0.01789 -0.00045 0.98923 0.0043 -0.0355 -0.001 -0.079 0.454 -0.120 -0.117 -0.494 37310
0.00131 -0.00025 -0.00019 -0.306 -0.013 -9.636 -0.08 -0.04 0.28 0.00 0.00000 0.14405 0.01838 -0.00056 0.98939 0.0041 -0.0365 -0.000 -0.079 0.394 -0.123 -0.118 -0.481 37410
-0.00048 -0.00198 -0.00072 -0.321 -0.013 -9.644 -0.09 -0.03 0.24 0.00 0.00000 0.14558 0.01863 -0.00067 0.98917 0.0040 -0.0370 0.000 -0.081 0.357 -0.127 -0.117 -0.476 37510
0.00113 -0.00106 -0.00144 -0.306 -0.016 -9.714 -0.14 -0.01 0.15 0.00 0.00000 0.14656 0.01968 -0.00096 0.98900 0.0038 -0.0392 0.000 -0.085 0.271 -0.138 -0.114 -0.473 37610
0.00128 -0.00157 -0.00021 -0.310 0.011 -9.667 -0.16 -0.00 0.13 0.00 0.00000 0.14541 0.02014 -0.00110 0.98916 0.0036 -0.0401 0.002 -0.094 0.252 -0.151 -0.111 -0.477 37710
0.00174 -0.00099 -0.00027 -0.310 0.006 -9.663 -0.10 -0.01 0.19 0.00 0.00000 0.14493 0.01859 -0.00115 0.98926 0.0031 -0.0371 0.000 -0.107 0.303 -0.153 -0.114 -0.485 37810
0.00076 -0.00143 -0.00015 -0.313 0.001 -9.630 -0.07 -0.01 0.19 0.00 0.00000 0.14533 0.01778 -0.00121 0.98922 0.0027 -0.0355 -0.000 -0.115 0.322 -0.149 -0.118 -0.497 37910
0.00015 -0.00139 -0.00083 -0.306 -0.006 -9.643 -0.04 -0.00 0.22 0.00 0.00000 0.14682 0.01720 -0.00169 0.98901 0.0016 -0.0345 -0.001 -0.142 0.359 -0.144 -0.127 -0.505 38010
0.00013 -0.00138 -0.00081 -0.312 0.008 -9.666 -0.03 0.00 0.24 0.00 0.00000 0.14565 0.01696 -0.00185 0.98918 0.0012 -0.0341 -0.002 -0.158 0.376 -0.137 -0.132 -0.507 38110
0.00157 -0.00088 -0.00152 -0.309 -0.013 -9.678 -0.03 -0.03 0.16 0.00 0.00000 0.14793 0.01697 -0.00103 0.98885 0.0029 -0.0338 -0.002 -0.125 0.316 -0.129 -0.131 -0.507 38210
0.00165 -0.00087 -0.00104 -0.303 0.003 -9.652 -0.04 -0.04 0.14 0.00 0.00000 0.14793 0.01698 -0.00063 0.98885 0.0037 -0.0337 -0.001 -0.104 0.298 -0.122 -0.131 -0.512 38310
0.00114 -0.00087 -0.00098 -0.328 0.003 -9.699 -0.02 -0.03 0.14 0.00 0.00000 0.14814 0.01680 -0.00105 0.98882 0.0028 -0.0335 -0.002 -0.121 0.297 -0.117 -0.138 -0.516 38410
0.00064 -0.00135 -0.00091 -0.306 -0.001 -9.666 -0.02 -0.02 0.15 0.00 0.00000 0.14781 0.01674 -0.00123 0.98887 0.0025 -0.0334 -0.001 -0.132 0.308 -0.112 -0.143 -0.523 38510
0.00022 -0.00139 -0.00083 -0.329 0.006 -9.659 -0.06 -0.06 0.11 0.00 0.00000 0.14687 0.01767 -0.00018 0.98899 0.0048 -0.0350 -0.000 -0.083 0.283 -0.110 -0.133 -0.532 38610
-0.00047 -0.00141 -0.00074 -0.331 -0.021 -9.675 -0.08 -0.08 0.10 0.00 0.00000 0.14708 0.01809 0.00024 0.98895 0.0058 -0.0357 0.000 -0.048 0.277 -0.111 -0.126 -0.540 38710
-0.00042 -0.00136 -0.00001 -0.341 -0.013 -9.664 -0.04 -0.06 0.17 0.00 0.00000 0.14668 0.01720 -0.00043 0.98903 0.0041 -0.0341 -0.000 -0.076 0.345 -0.110 -0.133 -0.547 38810
0.00227 -0.00084 0.00013 -0.307 0.021 -9.669 -0.02 -0.05 0.17 0.00 0.00000 0.14623 0.01674 -0.00080 0.98910 0.0032 -0.0333 -0.001 -0.104 0.358 -0.107 -0.140 -0.552 38910
0.00009 -0.00012 -0.00131 -0.331 0.003 -9.693 -0.03 -0.04 0.12 0.00 0.00000 0.14664 0.01683 -0.00107 0.98904 0.0028 -0.0336 -0.002 -0.117 0.313 -0.104 -0.144 -0.552 39010
-0.00057 -0.00134 -0.00071 -0.317 -0.011 -9.719 -0.03 -0.03 0.10 0.00 0.00000 0.14554 0.01692 -0.00117 0.98920 0.0025 -0.0338 -0.001 -0.122 0.294 -0.101 -0.146 -0.551 39110
0.00106 -0.00174 -0.00139 -0.303 -0.018 -9.660 0.02 -0.06 0.13 0.00 0.00000 0.14420 0.01562 -0.00074 0.98942 0.0030 -0.0311 -0.002 -0.108 0.323 -0.088 -0.145 -0.557 39210
0.00282 0.00000 -0.00111 -0.309 0.016 -9.684 0.05 -0.07 0.13 0.00 0.00000 0.14335 0.01499 -0.00053 0.98955 0.0032 -0.0298 -0.003 -0.103 0.332 -0.071 -0.144 -0.561 39310
0.00105 -0.00074 -0.00142 -0.333 -0.006 -9.708 0.04 -0.06 0.12 0.00 0.00000 0.14599 0.01521 -0.00084 0.98916 0.0027 -0.0303 -0.003 -0.111 0.319 -0.060 -0.151 -0.561 39410
0.00201 0.00046 -0.00153 -0.337 0.008 -9.720 0.04 -0.05 0.12 0.00 0.00000 0.14509 0.01538 -0.00101 0.98929 0.0024 -0.0307 -0.003 -0.121 0.319 -0.051 -0.156 -0.560 39510
0.00011 -0.00080 -0.00081 -0.311 0.008 -9.721 0.01 -0.03 0.09 0.00 0.00000 0.14625 0.01625 -0.00154 0.98911 0.0017 -0.0326 -0.001 -0.140 0.291 -0.052 -0.161 -0.559 39610
-0.00062 -0.00180 -0.00070 -0.313 -0.008 -9.704 -0.00 -0.01 0.07 0.00 0.00000 0.14557 0.01667 -0.00171 0.98920 0.0014 -0.0334 -0.000 -0.148 0.270 -0.054 -0.162 -0.563 39710
-0.00103 -0.00081 0.00009 -0.301 -0.003 -9.716 0.01 -0.00 0.07 0.00 0.00000 0.14463 0.01633 -0.00201 0.98934 0.0007 -0.0329 -0.000 -0.165 0.272 -0.054 -0.164 -0.567 39810
0.00103 -0.00007 -0.00089 -0.307 -0.006 -9.717 0.02 -0.00 0.06 0.00 0.00000 0.14385 0.01621 -0.00210 0.98946 0.0005 -0.0326 -0.001 -0.175 0.272 -0.053 -0.166 -0.572 39910
0.00198 -0.00011 -0.00151 -0.327 0.003 -9.704 -0.01 -0.02 0.06 0.00 0.00000 0.14419 0.01713 -0.00148 0.98940 0.0020 -0.0343 0.000 -0.146 0.276 -0.056 -0.160 -0.577 40010
0.00385 -0.00013 -0.00054 -0.308 0.006 -9.674 -0.03 -0.03 0.06 0.00 0.00000 0.14517 0.01760 -0.00118 0.98924 0.0027 -0.0351 0.001 -0.127 0.280 -0.062 -0.155 -0.586 40110
-0.00112 -0.00183 -0.00063 -0.315 0.003 -9.717 -0.01 -0.01 0.04 0.00 0.00000 0.14533 0.01727 -0.00182 0.98922 0.0014 -0.0347 -0.000 -0.151 0.270 -0.067 -0.159 -0.592 40210
-0.00153 -0.00133 0.00014 -0.325 -0.016 -9.733 -0.00 0.00 0.03 0.00 0.00000 0.14554 0.01706 -0.00208 0.98920 0.0008 -0.0343 -0.000 -0.167 0.266 -0.070 -0.161 -0.595 40310
0.00056 -0.00085 -0.00087 -0.323 -0.018 -9.710 -0.02 -0.00 0.06 0.00 0.00000 0.14609 0.01742 -0.00187 0.98911 0.0013 -0.0350 -0.000 -0.158 0.290 -0.074 -0.157 -0.600 40410
0.00332 -0.00013 -0.00050 -0.316 -0.023 -9.713 -0.03 -0.00 0.07 0.00 0.00000 0.14710 0.01764 -0.00174 0.98896 0.0017 -0.0354 -0.000 -0.150 0.304 -0.079 -0.155 -0.604 40510
0.00210 -0.00083 -0.00034 -0.307 -0.001 -9.697 -0.01 -0.00 0.06 0.00 0.00000 0.14693 0.01712 -0.00177 0.98899 0.0015 -0.0344 -0.000 -0.157 0.306 -0.080 -0.156 -0.608 40610
-0.00055 -0.00081 0.00001 -0.329 -0.003 -9.703 -0.00 -0.00 0.06 0.00 0.00000 0.14584 0.01682 -0.00182 0.98916 0.0013 -0.0338 -0.001 -0.161 0.310 -0.079 -0.157 -0.611 40710
-0.00107 -0.00133 0.00008 -0.313 -0.011 -9.725 -0.01 0.01 0.10 0.00 0.00000 0.14550 0.01734 -0.00241 0.98920 0.0002 -0.0350 -0.000 -0.185 0.337 -0.083 -0.161 -0.610 40810
-0.00108 -0.00232 0.00007 -0.318 -0.016 -9.697 -0.02 0.03 0.10 0.00 0.00000 0.14658 0.01758 -0.00263 0.98903 -0.0000 -0.0355 -0.000 -0.197 0.341 -0.088 -0.161 -0.609 40910
0.00065 -0.00018 -0.00015 -0.304 0.003 -9.668 -0.07 0.01 0.20 0.00 0.00000 0.14672 0.01865 -0.00199 0.98899 0.0015 -0.0374 0.001 -0.166 0.420 -0.097 -0.149 -0.607 41010
0.00212 -0.00093 -0.00032 -0.297 -0.001 -9.683 -0.09 0.00 0.21 0.00 0.00000 0.14553 0.01911 -0.00168 0.98916 0.0022 -0.0383 0.000 -0.146 0.425 -0.109 -0.142 -0.595 41110
0.00207 -0.00088 -0.00103 -0.311 0.003 -9.667 -0.08 -0.03 0.14 0.00 0.00000 0.14477 0.01842 -0.00072 0.98929 0.0039 -0.0366 -0.000 -0.106 0.361 -0.112 -0.134 -0.585 41210
0.00161 -0.00086 -0.00098 -0.305 0.011 -9.679 -0.07 -0.05 0.13 0.00 0.00000 0.14566 0.01809 -0.00032 0.98916 0.0046 -0.0358 -0.000 -0.083 0.344 -0.112 -0.130 -0.581 41310
-0.00042 -0.00093 0.00006 -0.312 -0.000 -9.668 -0.13 -0.07 0.25 0.00 0.00000 0.14310 0.01951 0.00035 0.98951 0.0062 -0.0385 0.001 -0.039 0.439 -0.122 -0.120 -0.576 41410
-0.00049 -0.00145 -0.00067 -0.310 -0.008 -9.645 -0.16 -0.08 0.27 0.00 0.00000 0.14396 0.02007 0.00060 0.98937 0.0069 -0.0395 0.001 -0.013 0.448 -0.135 -0.113 -0.564 41510
0.00077 -0.00092 -0.00011 -0.298 -0.023 -9.634 -0.14 -0.08 0.34 0.00 0.00000 0.14420 0.01934 0.00027 0.98935 0.0061 -0.0382 0.000 -0.024 0.495 -0.144 -0.116 -0.546 41610
0.00221 0.00032 -0.00033 -0.322 -0.006 -9.649 -0.12 -0.07 0.34 0.00 0.00000 0.14605 0.01895 0.00006 0.98909 0.0056 -0.0374 -0.001 -0.038 0.475 -0.149 -0.118 -0.520 41710
0.00218 -0.00087 -0.00030 -0.326 -0.008 -9.663 -0.10 -0.06 0.24 0.00 0.00000 0.14447 0.01850 -0.00020 0.98933 0.0049 -0.0366 -0.001 -0.056 0.378 -0.151 -0.123 -0.500 41810
0.00153 -0.00085 -0.00144 -0.330 0.001 -9.692 -0.10 -0.06 0.21 0.00 0.00000 0.14410 0.01828 -0.00033 0.98939 0.0046 -0.0362 -0.001 -0.067 0.338 -0.150 -0.126 -0.490 41910
0.00006 -0.00081 -0.00076 -0.327 -0.003 -9.653 -0.06 -0.02 0.21 0.00 0.00000 0.14411 0.01741 -0.00143 0.98940 0.0021 -0.0348 -0.001 -0.122 0.337 -0.148 -0.140 -0.492 42010
