# Wind Estimator
#
# Q = diag( 1.00000000 1.00000000 1.00000000 0.01000000 0.01000000 0.01000000 0.00000001 )
# R = diag( 0.25000000 0.25000000 0.25000000 0.25000000 0.00000400 )
# ki = 0.00000
# alpha = 0.50000
# beta = 2.00000
#
p q r ax ay az q1 q2 q3 q4 vkx vky vkz va aoa u v w wx wy wz vas t
-0.14153 -0.73936 -0.01682 4.401 -0.011 9.606 0.9989 -0.0038 0.0473 -0.0008 0.30868 0.00099 0.49018 1.09310 1.09458 0.431 -0.011 0.866 -0.090 0.003 -0.147 1.025 100
-0.26664 -1.34990 0.15158 3.804 0.074 9.449 0.9999 -0.0150 -0.0049 0.0032 0.42103 0.00195 0.60665 2.23025 1.01831 0.874 -0.050 1.179 -0.204 0.005 -0.273 1.202 200
-0.30266 -1.65724 0.42019 3.375 0.216 9.118 0.9967 -0.0289 -0.0731 0.0183 0.43337 0.01147 0.61400 3.19346 0.88802 0.858 -0.104 1.242 -0.168 0.007 -0.382 1.313 300
-0.21465 -1.73458 0.75863 3.268 0.633 8.830 0.9853 -0.0439 -0.1569 0.0519 0.42070 0.03582 0.59532 4.30941 0.72819 1.215 -0.183 1.148 -0.188 0.001 -0.463 1.454 400
-0.02597 -1.63323 1.02298 3.495 1.317 8.183 0.9671 -0.0526 -0.2290 0.0977 0.41411 0.08051 0.57011 5.17779 0.56678 1.570 -0.265 0.974 -0.254 -0.019 -0.550 1.584 500
0.30950 -1.56059 1.11147 3.337 1.853 5.951 0.9397 -0.0512 -0.2977 0.1606 0.40132 0.14136 0.46080 5.90635 0.41179 1.831 -0.330 0.683 -0.344 -0.070 -0.660 1.687 600
-0.04955 5.31401 -0.02082 -9.108 1.599 -3.536 0.9695 -0.0064 -0.2180 0.1118 -1.93238 0.23344 -1.61258 0.00000 2.80732 -1.078 0.552 0.252 -0.421 -0.064 -0.805 1.691 700
-0.00417 0.38236 -0.44279 -3.712 0.738 5.515 0.9938 -0.0417 0.0190 0.1017 -0.79358 0.01235 -0.08814 0.05035 -2.34549 0.426 0.048 1.557 -0.804 -0.110 -1.262 1.427 800
0.04239 -0.09454 -0.11814 0.527 0.038 3.686 0.9949 -0.0400 0.0104 0.0918 -0.30479 -0.06701 0.19165 0.02418 -1.72126 -0.152 -0.205 0.372 -0.660 0.000 -0.954 1.325 900
0.05828 -0.07349 0.00388 -0.043 -0.677 2.759 0.9952 -0.0359 0.0030 0.0913 -0.13323 -0.07599 0.19820 0.00134 1.46780 0.645 -0.072 -0.030 -0.725 -0.086 -0.557 1.380 1000
0.07424 -0.02768 0.00305 -0.084 -0.664 2.598 0.9953 -0.0314 -0.0005 0.0916 -0.06663 -0.08024 0.17913 0.01258 1.47574 0.746 -0.155 1.214 -0.770 -0.111 -0.757 1.315 1100
0.09986 -0.00138 0.00071 -0.049 -0.675 2.678 0.9955 -0.0254 -0.0015 0.0917 -0.03371 -0.08080 0.17578 0.17353 -1.61307 0.071 -0.061 0.208 -0.570 -0.109 -0.597 1.244 1200
0.12988 0.00176 0.00003 -0.066 -0.577 2.659 0.9956 -0.0187 -0.0015 0.0918 -0.01971 -0.07965 0.17808 0.00000 -1.63866 0.285 -0.037 -0.215 -0.516 -0.125 -0.300 1.301 1300
0.17496 -0.00242 -0.00040 -0.031 -0.597 2.651 0.9957 -0.0094 -0.0011 0.0918 -0.01129 -0.07580 0.17751 0.00456 -1.62248 0.363 0.114 -1.726 -0.493 -0.216 0.408 1.475 1400
0.02284 0.02612 0.00115 0.039 -0.390 2.626 0.9958 -0.0008 -0.0004 0.0918 -0.00921 -0.07507 0.15941 0.00000 -1.71129 0.490 0.057 -0.429 -0.499 -0.223 0.441 1.459 1500
-0.00966 -0.00564 0.00439 0.100 -0.326 2.698 0.9958 0.0004 -0.0004 0.0920 -0.00480 -0.06912 0.17611 0.12559 1.48870 0.092 0.058 1.403 -0.335 -0.190 -0.002 1.406 1600
-0.01177 -0.00981 0.00467 -0.052 -0.651 2.534 0.9957 0.0009 -0.0010 0.0922 -0.00473 -0.06745 0.17143 0.03201 1.49177 0.247 0.048 0.288 -0.309 -0.183 -0.020 1.369 1700
-0.00431 -0.00567 0.00470 -0.050 -0.549 2.544 0.9957 0.0018 -0.0017 0.0925 -0.00489 -0.06927 0.16572 0.10717 1.49319 0.331 0.046 0.330 -0.321 -0.185 -0.049 1.364 1800
-0.00013 -0.00252 0.00416 -0.023 -0.520 2.496 0.9957 0.0029 -0.0020 0.0926 -0.00417 -0.06940 0.16490 0.00000 -1.64562 -0.036 0.047 -0.579 -0.176 -0.158 0.168 1.380 1900
-0.00018 -0.00156 0.00320 -0.020 -0.524 2.392 0.9957 0.0041 -0.0023 0.0928 -0.00471 -0.06822 0.16263 0.00000 -1.64825 0.278 0.044 0.625 -0.227 -0.163 -0.018 1.333 2000
-0.00012 -0.00255 0.00319 -0.047 -0.460 2.399 0.9957 0.0052 -0.0026 0.0929 -0.00447 -0.06462 0.15971 0.00000 0.00074 0.119 0.047 -0.028 -0.184 -0.155 0.056 1.321 2100
-0.00005 -0.00257 0.00319 -0.007 -0.437 2.308 0.9956 0.0064 -0.0029 0.0931 -0.00357 -0.06270 0.15643 0.00000 -0.00103 0.130 0.052 -0.252 -0.171 -0.156 0.159 1.331 2200
0.00001 -0.00356 0.00319 -0.025 -0.514 2.320 0.9956 0.0074 -0.0032 0.0933 -0.00075 -0.06137 0.15531 0.00000 0.00193 0.162 0.047 0.138 -0.162 -0.149 0.117 1.326 2300
0.00020 -0.00260 0.00416 -0.067 -0.468 2.291 0.9956 0.0085 -0.0034 0.0935 -0.00097 -0.05973 0.15236 0.02416 0.00121 0.098 0.047 -0.184 -0.133 -0.143 0.166 1.325 2400
0.00026 -0.00359 0.00416 -0.008 -0.425 2.247 0.9956 0.0095 -0.0037 0.0937 -0.00132 -0.05849 0.15079 0.16654 -0.00039 0.128 0.053 -0.268 -0.135 -0.147 0.231 1.329 2500
0.00129 -0.00360 0.00404 0.053 -0.394 2.190 0.9955 0.0106 -0.0040 0.0939 -0.00131 -0.05506 0.14878 0.00000 0.00001 0.116 0.055 0.231 -0.114 -0.140 0.157 1.324 2600
0.00134 -0.00361 0.00404 -0.040 -0.425 2.207 0.9955 0.0116 -0.0043 0.0941 -0.00176 -0.05391 0.14586 0.00847 0.00121 0.052 0.051 -0.187 -0.082 -0.132 0.197 1.319 2700
0.00140 -0.00460 0.00404 0.057 -0.416 2.173 0.9955 0.0126 -0.0046 0.0943 -0.00153 -0.05290 0.14297 0.10573 -0.00191 0.082 0.073 -0.324 -0.083 -0.148 0.265 1.322 2800
0.00132 -0.00363 0.00307 -0.017 -0.406 2.130 0.9954 0.0136 -0.0049 0.0944 -0.00063 -0.05076 0.14182 0.00000 -0.00206 0.049 0.076 0.258 -0.052 -0.143 0.175 1.317 2900
0.00139 -0.00462 0.00307 0.039 -0.452 2.067 0.9954 0.0149 -0.0052 0.0946 0.00577 -0.06984 0.14006 0.00000 -0.00144 0.007 0.045 -0.224 -0.026 -0.133 0.231 1.311 3000
0.00158 -0.00365 0.00403 0.007 -0.364 2.047 0.9954 0.0160 -0.0054 0.0947 0.00360 -0.05692 0.13710 0.00478 0.00020 0.031 0.044 0.274 -0.019 -0.118 0.137 1.307 3100
0.00152 -0.00366 0.00307 -0.025 -0.353 1.997 0.9953 0.0171 -0.0056 0.0949 0.00133 -0.05012 0.13467 0.00000 0.00044 -0.023 0.051 -0.218 0.004 -0.114 0.210 1.300 3200
0.00156 -0.00464 0.00306 -0.015 -0.401 1.937 0.9953 0.0180 -0.0059 0.0950 0.00063 -0.04806 0.13267 0.00845 0.00111 0.009 -0.003 0.330 0.000 -0.069 0.098 1.295 3300
0.00163 -0.00368 0.00306 -0.021 -0.350 1.943 0.9953 0.0192 -0.0061 0.0952 0.00358 -0.05559 0.13087 0.02131 0.00113 -0.042 0.013 -0.154 0.021 -0.070 0.156 1.286 3400
0.00168 -0.00368 0.00306 0.028 -0.283 1.970 0.9952 0.0201 -0.0063 0.0953 0.00173 -0.04641 0.12829 0.04180 -0.00052 0.012 -0.011 -0.370 -0.010 -0.058 0.254 1.287 3500
