# Wind Estimator
#
# Q = diag( 1.00000000 1.00000000 1.00000000 0.01000000 0.01000000 0.01000000 0.00000001 )
# R = diag( 0.25000000 0.25000000 0.25000000 0.25000000 0.00000400 )
# ki = 0.00000
# alpha = 0.50000
# beta = 2.00000
#
p q r ax ay az q1 q2 q3 q4 vkx vky vkz va aoa u v w wx wy wz vas t
0.00172 -0.00369 0.00306 -0.005 -0.276 1.923 0.9952 0.0210 -0.0066 0.0955 0.00061 -0.04002 0.12709 0.00000 0.00020 -0.029 0.013 0.199 0.020 -0.053 0.164 1.282 3600
0.00177 -0.00370 0.00306 0.111 -0.639 1.853 0.9952 0.0219 -0.0068 0.0956 0.00946 -0.06632 0.12556 0.00000 0.00016 0.070 0.000 -0.258 -0.035 -0.082 0.240 1.271 3700
0.00184 -0.00370 0.00306 0.049 -0.191 1.775 0.9951 0.0231 -0.0069 0.0957 0.00573 -0.04784 0.12210 0.00000 0.00055 0.007 0.011 0.297 -0.007 -0.066 0.121 1.267 3800
0.00188 -0.00370 0.00306 -0.058 -0.240 1.758 0.9951 0.0239 -0.0071 0.0959 0.00384 -0.03850 0.11935 0.03349 -0.00074 0.093 0.441 -0.032 -0.004 -0.370 0.128 1.247 3900
0.00205 -0.00371 0.00403 -0.029 -0.268 1.782 0.9950 0.0247 -0.0073 0.0960 0.00085 -0.03607 0.11738 0.00000 -0.00003 0.020 0.137 -0.414 -0.004 -0.231 0.261 1.239 4000
0.00208 -0.00371 0.00403 0.182 -0.195 1.766 0.9950 0.0254 -0.0075 0.0962 0.00384 -0.03057 0.11583 0.00000 0.00103 -0.013 0.121 0.206 0.024 -0.177 0.153 1.229 4100
0.00199 -0.00372 0.00306 0.076 -0.156 1.674 0.9950 0.0260 -0.0076 0.0964 0.00439 -0.02645 0.11226 0.00000 2.96255 0.244 0.051 -0.916 -0.146 -0.165 0.428 1.203 4200
0.00119 -0.00274 0.00415 0.082 -0.783 1.759 0.9949 0.0269 -0.0077 0.0966 0.01095 -0.06702 0.11215 0.08641 0.00049 0.001 0.035 -0.042 -0.039 -0.133 0.328 1.183 4300
0.00125 -0.00372 0.00415 0.110 -0.200 1.644 0.9949 0.0280 -0.0078 0.0968 0.00786 -0.04595 0.10941 0.06509 0.00214 0.028 0.059 -0.431 -0.019 -0.136 0.403 1.181 4400
0.00129 -0.00372 0.00415 0.030 -0.167 1.604 0.9948 0.0287 -0.0080 0.0969 0.00465 -0.03259 0.10757 0.00000 -0.00035 -0.015 0.046 0.101 0.003 -0.101 0.282 1.173 4500
0.00132 -0.00275 0.00415 0.039 -0.189 1.608 0.9948 0.0293 -0.0081 0.0972 0.00382 -0.02580 0.10590 0.05542 0.00079 0.055 0.049 -0.368 -0.026 -0.105 0.357 1.166 4600
0.00135 -0.00275 0.00415 -0.022 -0.096 1.477 0.9948 0.0299 -0.0082 0.0973 0.00506 -0.02534 0.10352 0.00000 -1.65370 0.048 0.054 -0.294 -0.029 -0.106 0.369 1.165 4700
0.00140 -0.00275 0.00415 0.040 -0.077 1.555 0.9947 0.0308 -0.0083 0.0975 0.00390 -0.03808 0.10308 0.00743 0.00075 0.009 0.015 0.177 -0.020 -0.071 0.235 1.161 4800
0.00144 -0.00275 0.00415 0.162 -0.297 1.571 0.9947 0.0315 -0.0084 0.0977 0.01241 -0.05025 0.10058 0.10300 -0.00022 -0.029 0.009 -0.317 0.025 -0.072 0.311 1.156 4900
0.00149 -0.00275 0.00415 -0.007 -0.070 1.514 0.9946 0.0324 -0.0084 0.0979 0.00736 -0.03040 0.09847 0.09197 -0.00178 0.060 0.011 0.167 -0.034 -0.061 0.191 1.148 5000
0.00151 -0.00275 0.00415 0.097 -0.101 1.455 0.9946 0.0329 -0.0085 0.0981 0.00608 -0.02206 0.09664 0.00000 0.00177 -0.024 0.023 -0.316 0.015 -0.060 0.278 1.143 5100
0.00154 -0.00275 0.00415 0.007 -0.176 1.389 0.9946 0.0334 -0.0086 0.0983 0.00484 -0.01732 0.09480 0.04498 -0.00201 0.061 0.012 0.179 -0.036 -0.048 0.162 1.135 5200
0.00155 -0.00275 0.00415 -0.016 -0.084 1.378 0.9945 0.0337 -0.0087 0.0985 0.00330 -0.01414 0.09353 0.00000 0.00048 -0.020 0.019 -0.299 0.007 -0.046 0.251 1.130 5300
0.00157 -0.00275 0.00415 -0.011 -0.129 1.397 0.9945 0.0341 -0.0088 0.0987 0.00381 -0.01407 0.09167 0.00000 -0.00098 0.056 0.004 0.202 -0.034 -0.032 0.136 1.123 5400
0.00158 -0.00372 0.00414 0.037 -0.058 1.345 0.9945 0.0344 -0.0089 0.0989 0.00392 -0.01229 0.08983 0.02652 0.00076 -0.021 0.009 -0.274 0.005 -0.032 0.224 1.117 5500
0.00160 -0.00372 0.00414 0.086 -0.086 1.397 0.9952 0.0373 0.0564 0.0702 0.00560 -0.01267 0.08874 0.00000 0.00072 0.108 -0.015 0.231 -0.088 -0.015 0.112 1.109 5600
-0.00000 -0.00103 -0.00091 -1.137 -0.086 1.301 0.9955 0.0373 0.0554 0.0666 -0.07267 -0.01244 0.08980 0.00000 -0.00078 0.075 0.004 -0.254 -0.116 -0.032 0.203 1.100 5700
0.00012 -0.00017 0.00000 -1.071 -0.118 1.346 0.9959 0.0371 0.0534 0.0630 -0.10899 -0.01299 0.08924 0.00793 -0.00169 0.088 -0.015 0.263 -0.199 -0.011 0.087 1.092 5800
0.00012 -0.00029 -0.00004 -1.039 -0.143 1.264 0.9962 0.0370 0.0512 0.0603 -0.11962 -0.01311 0.08717 0.03550 0.00098 0.134 -0.005 -0.217 -0.236 -0.028 0.176 1.082 5900
0.00012 -0.00044 -0.00006 -0.892 -0.122 1.253 0.9964 0.0370 0.0488 0.0580 -0.12015 -0.01269 0.08519 0.10635 0.00049 0.094 -0.017 0.263 -0.247 -0.009 0.066 1.077 6000
-0.00085 -0.00057 0.00004 -0.992 -0.133 1.355 0.9966 0.0370 0.0465 0.0564 -0.12171 -0.01302 0.08444 0.06629 -0.00272 0.170 -0.010 -0.192 -0.283 -0.024 0.153 1.067 6100
-0.00085 -0.00071 0.00003 -0.946 -0.171 1.243 0.9968 0.0369 0.0441 0.0550 -0.11895 -0.01289 0.08222 0.11818 -0.00052 0.133 -0.025 0.306 -0.291 -0.004 0.036 1.063 6200
-0.00086 -0.00083 0.00002 -0.893 0.057 1.241 0.9970 0.0370 0.0420 0.0542 -0.11333 -0.01057 0.08097 0.01058 -0.00043 0.054 -0.014 -0.177 -0.209 -0.005 0.116 1.056 6300
-0.00086 -0.00096 0.00002 -0.921 -0.041 1.161 0.9971 0.0369 0.0397 0.0535 -0.11028 -0.01048 0.07760 0.00000 0.00002 0.131 -0.024 0.329 -0.264 0.005 0.006 1.050 6400
-0.00086 -0.00108 0.00002 -0.878 -0.062 1.219 0.9972 0.0370 0.0378 0.0532 -0.10738 -0.00886 0.07817 0.12381 -0.00033 0.046 -0.016 -0.134 -0.197 0.001 0.080 1.042 6500
-0.00086 -0.00120 0.00003 -0.729 -0.109 1.166 0.9973 0.0370 0.0356 0.0529 -0.10118 -0.00901 0.07561 0.00000 -0.00077 0.096 -0.016 0.338 -0.222 0.005 -0.023 1.038 6600
-0.00087 -0.00131 0.00003 -0.716 0.047 1.106 0.9973 0.0370 0.0338 0.0528 -0.09870 -0.00907 0.07334 0.06570 -0.00066 0.028 -0.015 -0.108 -0.169 0.005 0.039 1.030 6700
-0.00087 -0.00142 0.00004 -0.702 -0.059 1.114 0.9974 0.0370 0.0319 0.0528 -0.09427 -0.00862 0.07361 0.06014 0.00066 0.055 -0.015 0.021 -0.172 0.003 0.044 1.030 6800
-0.00087 -0.00152 0.00005 -0.698 -0.072 1.091 0.9975 0.0370 0.0301 0.0529 -0.08990 -0.00746 0.07193 0.00000 0.00014 0.115 -0.019 -0.229 -0.210 -0.002 0.107 1.026 6900
-0.00100 -0.00162 -0.00091 -0.650 -0.068 1.005 0.9975 0.0371 0.0283 0.0530 -0.08559 -0.00805 0.06923 0.00000 -0.00124 0.062 -0.012 0.270 -0.176 0.001 0.024 1.023 7000
-0.00100 -0.00073 -0.00090 -0.623 -0.013 0.950 0.9975 0.0371 0.0268 0.0531 -0.08288 -0.00907 0.06875 0.00000 -0.00071 0.167 -0.016 -0.179 -0.244 -0.009 0.100 1.012 7100
-0.00100 -0.00181 -0.00089 -0.624 -0.075 1.032 0.9976 0.0371 0.0251 0.0533 -0.07941 -0.00907 0.06818 0.00000 0.00120 0.103 -0.010 0.315 -0.210 -0.005 0.000 1.009 7200
-0.00003 -0.00189 -0.00101 -0.624 -0.087 0.921 0.9976 0.0372 0.0237 0.0535 -0.07747 -0.00957 0.06634 0.02769 0.00004 0.036 -0.010 -0.143 -0.150 -0.005 0.062 1.001 7300
-0.00100 -0.00198 -0.00087 -0.571 -0.014 1.011 0.9976 0.0373 0.0221 0.0538 -0.07359 -0.00636 0.06485 0.09498 -0.00052 0.085 -0.003 0.320 -0.171 -0.004 -0.027 0.997 7400
-0.00100 -0.00205 -0.00086 -0.496 0.013 0.870 0.9976 0.0373 0.0207 0.0541 -0.06953 -0.00641 0.06326 0.03442 -0.00012 0.014 -0.007 -0.139 -0.118 -0.001 0.046 0.990 7500
-0.00100 -0.00213 -0.00085 -0.479 -0.084 0.970 0.9976 0.0373 0.0193 0.0545 -0.06691 -0.00519 0.06238 0.00000 -0.00033 0.060 -0.007 0.349 -0.136 0.004 -0.051 0.986 7600
-0.00003 -0.00220 -0.00097 -0.455 -0.014 0.926 0.9976 0.0373 0.0180 0.0547 -0.06285 -0.00707 0.06164 0.05746 0.00033 -0.003 -0.009 -0.104 -0.093 0.005 0.018 0.977 7700
-0.00100 -0.00227 -0.00083 -0.357 0.011 0.852 0.9976 0.0374 0.0167 0.0550 -0.05818 -0.00642 0.05950 0.01727 0.00005 0.028 -0.005 0.308 -0.096 0.007 -0.062 0.974 7800
-0.00100 -0.00234 -0.00082 -0.478 -0.149 0.919 0.9977 0.0374 0.0156 0.0552 -0.05791 -0.00718 0.05972 0.04928 0.00081 0.139 -0.007 -0.095 -0.188 -0.009 0.004 0.962 7900
-0.00100 -0.00240 -0.00081 -0.407 -0.038 0.862 0.9977 0.0375 0.0143 0.0555 -0.05560 -0.00763 0.05717 0.00000 -0.00016 0.116 -0.008 0.094 -0.182 -0.007 -0.009 0.961 8000
-0.00100 -0.00246 -0.00080 -0.389 -0.098 0.888 0.9977 0.0375 0.0132 0.0558 -0.05308 -0.00785 0.05553 0.00000 0.00189 0.070 -0.008 -0.198 -0.147 -0.009 0.049 0.959 8100
-0.00100 -0.00252 -0.00079 -0.343 -0.030 0.892 0.9976 0.0376 0.0121 0.0561 -0.04958 -0.00688 0.05361 0.03215 0.00040 0.048 -0.007 0.282 -0.116 -0.000 -0.024 0.955 8200
-0.00100 -0.00258 -0.00078 -0.393 -0.026 0.745 0.9976 0.0376 0.0111 0.0564 -0.04676 -0.00707 0.05279 0.00000 0.00231 0.003 -0.007 -0.156 -0.078 -0.001 0.045 0.948 8300
-0.00099 -0.00263 -0.00077 -0.375 -0.027 0.792 0.9976 0.0376 0.0100 0.0567 -0.04714 -0.00553 0.05289 0.00000 0.00031 0.053 -0.005 0.311 -0.101 0.002 -0.041 0.943 8400
-0.00099 -0.00366 -0.00076 -0.365 -0.044 0.737 0.9976 0.0377 0.0091 0.0570 -0.04487 -0.00467 0.05124 0.00000 0.00096 -0.011 -0.005 -0.140 -0.061 0.001 0.033 0.935 8500
-0.00099 -0.00273 -0.00076 -0.311 0.003 0.720 0.9976 0.0377 0.0080 0.0572 -0.04303 -0.00522 0.04925 0.01366 0.00192 0.038 -0.005 0.325 -0.080 0.006 -0.060 0.931 8600
-0.00099 -0.00278 -0.00075 -0.312 -0.006 0.726 0.9976 0.0377 0.0072 0.0575 -0.03834 -0.00417 0.04856 0.08938 -0.00126 -0.016 -0.006 -0.111 -0.048 0.005 0.012 0.923 8700
-0.00099 -0.00282 -0.00074 -0.314 -0.060 0.693 0.9976 0.0377 0.0063 0.0577 -0.03590 -0.00446 0.04789 0.25955 0.00105 0.016 -0.005 0.306 -0.054 0.009 -0.071 0.920 8800
-0.00196 -0.00286 -0.00061 -0.242 -0.065 0.632 0.9976 0.0377 0.0055 0.0579 -0.03602 -0.00406 0.04560 0.00000 -0.00156 0.129 -0.006 -0.123 -0.153 -0.008 0.007 0.908 8900
-0.00099 -0.00290 -0.00073 -0.189 0.055 0.614 0.9976 0.0377 0.0047 0.0581 -0.03408 -0.00390 0.04421 0.17200 0.00002 0.070 -0.005 0.281 -0.113 0.002 -0.070 0.906 9000
-0.00184 -0.00294 0.00037 -0.280 0.015 0.682 0.9976 0.0377 0.0039 0.0583 -0.03441 -0.00380 0.04531 0.00000 -0.00180 0.008 -0.007 -0.117 -0.067 0.005 -0.005 0.899 9100
-0.00099 -0.00298 -0.00072 -0.193 -0.058 0.611 0.9976 0.0377 0.0031 0.0585 -0.03028 -0.00477 0.04322 0.10534 0.00094 0.046 -0.006 0.305 -0.078 0.007 -0.080 0.895 9200
-0.00099 -0.00301 -0.00071 -0.305 -0.055 0.630 0.9976 0.0377 0.0024 0.0586 -0.02872 -0.00506 0.04204 0.00000 0.00004 -0.016 -0.006 -0.125 -0.038 0.004 -0.001 0.887 9300
-0.00099 -0.00207 -0.00070 -0.136 -0.012 0.651 0.9976 0.0377 0.0018 0.0588 -0.02672 -0.00335 0.04171 0.02986 0.00106 0.029 -0.002 0.332 -0.052 0.007 -0.091 0.884 9400
-0.00099 -0.00209 -0.00070 -0.248 0.057 0.597 0.9975 0.0377 0.0012 0.0589 -0.02381 -0.00303 0.03892 0.00000 0.00063 -0.029 -0.006 -0.111 -0.019 0.009 -0.010 0.875 9500
-0.00099 -0.00310 -0.00070 -0.214 -0.028 0.516 0.9975 0.0377 0.0006 0.0591 -0.02290 -0.00321 0.03795 0.00000 0.00017 0.013 -0.009 0.348 -0.032 0.017 -0.106 0.871 9600
-0.00099 -0.00312 -0.00069 -0.110 -0.020 0.596 0.9975 0.0377 0.0001 0.0592 -0.02150 -0.00430 0.03740 0.00000 -0.00111 -0.041 -0.008 -0.090 -0.002 0.013 -0.030 0.861 9700
-0.00099 -0.00315 -0.00069 -0.115 0.000 0.478 0.9975 0.0377 -0.0005 0.0593 -0.02075 -0.00295 0.03732 0.00000 0.00163 -0.010 -0.000 0.349 -0.005 0.013 -0.120 0.858 9800
-0.00098 -0.00317 -0.00068 -0.068 -0.076 0.548 0.9975 0.0377 -0.0010 0.0594 -0.01873 -0.00489 0.03571 0.24371 -0.00055 0.101 -0.005 -0.043 -0.106 -0.004 -0.055 0.847 9900
-0.00111 -0.00319 -0.00165 -0.130 -0.054 0.580 0.9975 0.0377 -0.0016 0.0595 -0.01778 -0.00519 0.03659 0.07145 0.00079 0.097 -0.002 -0.132 -0.117 -0.013 0.009 0.847 10000
-0.00110 -0.00321 -0.00164 -0.205 0.010 0.583 0.9975 0.0377 -0.0020 0.0596 -0.01759 -0.00297 0.03609 0.00000 -0.00008 0.046 0.011 0.293 -0.071 -0.011 -0.056 0.845 10100
-0.00111 -0.00323 -0.00164 -0.162 -0.074 0.453 0.9975 0.0377 -0.0025 0.0597 -0.01620 -0.00120 0.03430 0.00000 -0.00004 -0.004 0.005 -0.127 -0.031 -0.007 0.003 0.838 10200
-0.00098 -0.00325 -0.00067 -0.119 -0.051 0.487 0.9975 0.0377 -0.0030 0.0598 -0.01688 -0.00225 0.03357 0.00000 0.00074 0.039 0.001 0.291 -0.050 -0.000 -0.070 0.834 10300
-0.00098 -0.00327 -0.00066 -0.129 0.056 0.572 0.9975 0.0377 -0.0035 0.0599 -0.01487 -0.00261 0.03425 0.02844 0.00042 -0.024 -0.003 -0.126 -0.010 0.004 0.003 0.826 10400
-0.00085 -0.00328 0.00031 -0.082 -0.020 0.437 0.9975 0.0377 -0.0039 0.0600 -0.01234 -0.00206 0.03212 0.02666 0.00074 0.027 -0.006 0.302 -0.032 0.010 -0.081 0.822 10500
-0.00085 -0.00330 0.00031 -0.100 -0.029 0.396 0.9975 0.0377 -0.0043 0.0601 -0.01106 -0.00234 0.03122 0.09329 0.00000 -0.028 -0.004 -0.112 -0.000 0.007 -0.007 0.815 10600
-0.00085 -0.00331 0.00031 -0.125 -0.030 0.424 0.9975 0.0377 -0.0046 0.0602 -0.01054 -0.00326 0.03025 0.00000 -0.00002 0.015 -0.003 0.328 -0.017 0.010 -0.099 0.810 10700
-0.00097 -0.00332 -0.00065 -0.027 -0.020 0.434 0.9975 0.0377 -0.0050 0.0603 -0.00860 -0.00375 0.03072 0.08539 -0.00005 -0.038 -0.004 -0.091 0.013 0.008 -0.025 0.802 10800
-0.00097 -0.00333 -0.00065 -0.079 -0.020 0.396 0.9974 0.0378 -0.0053 0.0604 -0.00821 -0.00431 0.02964 0.00000 -0.00081 -0.004 -0.003 0.348 0.005 0.012 -0.120 0.798 10900
-0.00096 -0.00334 -0.00065 -0.017 -0.017 0.409 0.9974 0.0378 -0.0057 0.0604 -0.00725 -0.00291 0.02782 0.00000 -0.00091 0.118 -0.003 -0.089 -0.109 -0.006 -0.040 0.786 11000
-0.00096 -0.00335 -0.00064 -0.008 0.065 0.342 0.9974 0.0378 -0.0060 0.0605 -0.00810 -0.00124 0.02775 0.00723 -0.00076 0.059 -0.003 0.284 -0.067 0.006 -0.112 0.784 11100
-0.00096 -0.00336 -0.00064 -0.160 -0.133 0.354 0.9974 0.0378 -0.0063 0.0606 -0.00816 -0.00345 0.02691 0.00000 -0.00104 0.000 -0.002 -0.093 -0.025 0.002 -0.048 0.777 11200
-0.00096 -0.00337 -0.00064 -0.102 -0.030 0.427 0.9974 0.0378 -0.0066 0.0606 -0.00672 -0.00264 0.02754 0.00000 -0.00012 0.034 0.002 0.322 -0.036 0.004 -0.123 0.773 11300
-0.00096 -0.00338 -0.00064 0.008 0.023 0.419 0.9974 0.0378 -0.0069 0.0607 -0.00511 -0.00191 0.02533 0.00000 -0.00092 -0.034 -0.001 -0.096 0.012 0.007 -0.043 0.765 11400
-0.00096 -0.00338 -0.00064 -0.018 -0.051 0.398 0.9974 0.0378 -0.0071 0.0608 -0.00589 -0.00410 0.02610 0.00000 0.00047 0.008 -0.004 0.345 -0.005 0.012 -0.131 0.761 11500
-0.00095 -0.00436 -0.00063 -0.056 -0.003 0.345 0.9974 0.0378 -0.0074 0.0608 -0.00320 -0.00349 0.02439 0.04118 0.00046 -0.046 -0.003 -0.070 0.027 0.010 -0.057 0.752 11600
-0.00095 -0.00437 -0.00063 0.064 -0.027 0.317 0.9974 0.0379 -0.0077 0.0609 -0.00176 -0.00273 0.02426 0.00000 -0.00013 -0.012 0.000 0.358 0.020 0.013 -0.147 0.749 11700
-0.00082 -0.00437 0.00034 -0.013 -0.001 0.373 0.9974 0.0379 -0.0080 0.0610 -0.00310 -0.00346 0.02461 0.00000 -0.00088 0.112 -0.003 -0.062 -0.097 -0.004 -0.071 0.737 11800
-0.00094 -0.00437 -0.00063 0.108 -0.114 0.344 0.9974 0.0379 -0.0082 0.0611 -0.00074 -0.00295 0.02399 0.00000 0.00040 0.083 -0.005 0.177 -0.079 0.000 -0.101 0.735 11900
-0.00094 -0.00437 -0.00063 0.042 0.078 0.311 0.9974 0.0379 -0.0085 0.0612 -0.00037 -0.00124 0.02285 0.01898 0.00202 0.026 -0.005 -0.135 -0.039 0.005 -0.037 0.731 12000
-0.00094 -0.00437 -0.00062 -0.010 -0.074 0.344 0.9974 0.0379 -0.0087 0.0612 -0.00044 -0.00057 0.02270 0.00000 0.00005 0.007 -0.003 0.294 -0.010 0.011 -0.104 0.727 12100
